DEPTH	GR	NPHI	RES-DEEP	SW
623.47	40.6	0.051	12.64	0.452595737
623.62	39.4	0.052	12.73	0.451099223
623.77	39.6	0.055	12.53	0.454389451
623.93	41.4	0.058	12.12	0.440223541
624.08	42.3	0.063	11.85	0.47111519
624.23	42.1	0.064	11.34	0.496914638
624.38	40.8	0.064	10.31	0.502162976
624.54	38.6	0.062	9.68	0.516739345
624.69	38.0	0.060	9.74	0.538619617
624.84	37.7	0.059	10.80	0.483759933
624.99	37.4	0.058	14.68	0.371393887
625.15	36.7	0.058	18.26	0.347407787
625.30	34.4	0.057	17.63	0.408533384
625.45	31.7	0.055	16.33	0.620437175
625.60	30.0	0.056	15.09	4.101207334
625.75	30.4	0.058	13.22	NaN
625.91	31.5	0.060	11.14	NaN
626.06	31.6	0.060	11.00	NaN
626.21	30.8	0.062	13.14	NaN
626.36	29.5	0.066	14.57	0.578716742
626.52	28.8	0.072	15.18	0.405463969
626.67	30.0	0.075	16.42	0.377471256
626.82	32.0	0.072	16.84	0.365794001
626.97	33.5	0.068	16.58	0.401948662
627.13	33.3	0.063	16.63	0.377152194
627.28	32.1	0.062	16.73	0.356438939
627.43	32.2	0.061	16.56	0.377837777
627.58	33.0	0.063	16.81	0.373354387
627.74	34.4	0.065	17.38	0.418322086
627.89	34.5	0.065	18.51	0.453952724
628.04	33.6	0.064	19.37	0.414950029
628.19	33.8	0.061	18.65	0.382994364
628.35	34.6	0.060	17.21	0.380812044
628.50	35.0	0.062	15.95	0.427611567
628.65	34.2	0.065	15.14	0.445580015
628.80	33.9	0.066	14.58	0.440603604
628.96	34.5	0.065	14.29	0.439734679
629.11	33.9	0.065	14.20	0.426854994
629.26	32.1	0.066	13.61	0.391639523
629.41	31.7	0.070	9.29	0.388082173
629.56	32.7	0.077	5.61	0.417086442
629.72	33.5	0.086	5.11	0.443561075
629.87	33.0	0.095	5.80	0.448387256
630.02	32.2	0.100	6.16	0.424374913
630.17	32.7	0.097	6.18	0.426602457
630.33	33.3	0.090	6.17	0.442518311
630.48	33.6	0.083	6.17	0.449031949
630.63	33.9	0.077	6.15	0.463066048
630.78	32.4	0.075	6.02	0.648937538
630.94	30.5	0.078	5.69	0.778213069
631.09	29.9	0.087	5.20	0.596296524
631.24	30.8	0.096	4.90	0.523731847
631.39	32.8	0.099	5.39	0.484461721
631.55	33.1	0.100	6.41	0.465171636
631.70	33.1	0.101	7.21	0.421044801
631.85	34.5	0.102	7.89	0.402629542
632.00	35.8	0.102	8.64	0.434970666
632.16	34.3	0.098	9.59	0.444883135
632.31	31.3	0.088	10.76	0.457763589
632.46	29.3	0.080	11.26	0.482365778
632.61	30.7	0.078	11.68	0.459331353
632.77	34.1	0.079	13.26	0.392623
632.92	36.4	0.082	15.03	0.33210901
633.07	39.2	0.083	19.21	0.307172555
633.22	40.5	0.084	29.71	0.27550919
633.37	39.9	0.083	35.86	0.252854074
633.53	37.6	0.078	29.37	0.320008383
633.68	35.2	0.067	20.73	0.512181515
633.83	34.6	0.053	16.56	0.518519595
633.98	34.7	0.044	16.57	0.429998682
634.14	35.8	0.039	17.71	0.427129155
634.29	35.9	0.038	19.95	0.444537925
634.44	34.0	0.037	22.36	0.445679277
634.59	32.7	0.036	22.13	0.489325923
634.75	34.3	0.034	19.72	0.55014405
634.90	36.0	0.035	17.72	0.545833781
635.05	33.1	0.038	16.54	0.504287195
635.20	28.3	0.041	16.02	0.460922965
635.36	26.1	0.042	16.07	0.433525221
635.51	26.1	0.041	16.47	0.423830807
635.66	25.5	0.040	16.76	0.415786326
635.81	24.3	0.041	17.08	0.409903456
635.97	24.7	0.045	18.66	0.45825242
636.12	30.4	0.049	22.34	0.442715555
636.27	39.1	0.051	27.43	0.3539588
636.42	43.4	0.053	28.24	0.451870222
636.58	42.6	0.052	24.21	0.772035461
636.73	41.0	0.050	20.53	0.650099151
636.88	42.4	0.046	17.78	0.532468477
637.03	43.5	0.045	16.13	0.593159249
637.18	42.1	0.044	15.21	0.629976117
637.34	38.6	0.044	14.51	0.56272941
637.49	40.3	0.044	14.77	0.520233186
637.64	53.3	0.045	16.49	0.498106765
637.79	70.8	0.051	18.70	0.516471269
637.95	82.6	0.064	19.58	0.796815774
638.10	87.1	0.089	19.43	1.038672257
638.25	89.0	0.106	19.20	0.69156148
638.40	90.5	0.096	17.95	0.77099787
638.56	86.6	0.069	16.52	0.919223629
638.71	74.0	0.048	15.15	0.873712489
638.86	56.4	0.040	11.68	1.091796008
639.01	41.4	0.038	8.26	1.416120746
639.17	36.2	0.036	6.77	1.231831537
639.32	37.3	0.037	6.20	0.903225831
639.47	39.0	0.049	5.43	0.665913142
639.62	41.4	0.076	4.22	0.533825719
639.78	43.5	0.104	3.16	0.543880224
639.93	42.5	0.121	2.68	0.596298126
640.08	38.2	0.125	2.66	0.586127884
640.23	33.7	0.128	2.80	0.560100053
640.39	31.7	0.125	2.91	0.567912873
640.54	31.4	0.120	2.95	0.57752254
640.69	31.3	0.110	2.95	0.564387211
640.84	31.3	0.105	2.95	0.554237187
640.99	31.7	0.102	2.88	0.587823848
641.15	31.5	0.099	2.80	0.59409728
641.30	30.7	0.094	2.77	0.594635885
641.45	30.8	0.088	2.80	0.631823824
641.60	31.3	0.091	2.82	0.625670485
641.76	30.5	0.101	2.74	0.631580586
641.91	28.4	0.108	2.60	0.636010147
642.06	27.0	0.107	2.51	0.641266399
642.21	27.9	0.105	2.50	0.667982268
642.37	29.0	0.105	2.50	0.680569269
642.52	30.0	0.108	2.48	0.68854261
642.67	31.3	0.109	2.52	0.612885366
